Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
1094,50.20886141298531,13.281130476539458,-5.741013762789559e+281,50.60706707859342,50.60706707859342
1130,50.19769206654814,13.297354680556412,-5.741013762789559e+281,50.530113706131964,50.530113706131964
1166,50.12910060772258,13.298559958818116,-5.741013762789559e+281,50.456698708944685,50.456698708944685
1202,49.993856976041506,13.293374515183256,-5.741013762789559e+281,50.30538392247371,50.30538392247371
1238,49.9107981549464,13.30347001307586,-5.741013762789559e+281,50.209624117958676,50.209624117958676
1274,49.69562652831129,13.311588468105152,-5.741013762789559e+281,50.08516688565568,50.08516688565568
1310,49.69562652831129,13.306644463226391,-5.741013762789559e+281,50.014409694023534,50.014409694023534
1346,49.60162459958654,13.328019580947046,-5.741013762789559e+281,49.94422664005015,49.94422664005015
1382,49.4213869906038,13.329978911523778,-5.741013762789559e+281,49.88237799225335,49.88237799225335
1418,49.4213869906038,13.334609475684218,-5.741013762789559e+281,49.8155613729961,49.8155613729961
1454,49.3659344014608,13.336109163149807,-5.741013762789559e+281,49.72126438659188,49.72126438659188
1490,49.332197236102104,13.341321631462359,-5.741013762789559e+281,49.59995345625342,49.59995345625342
1526,49.2599717524365,13.349792572447937,-5.741013762789559e+281,49.50332291431453,49.50332291431453
1562,49.15132638265207,13.363722435366437,-5.741013762789559e+281,49.41178976951617,49.41178976951617
1598,49.145647842748815,13.368355048922083,-5.741013762789559e+281,49.325660813251226,49.325660813251226
1634,49.13530342582171,13.367581411008803,-5.741013762789559e+281,49.27106195198422,49.27106195198422
1670,48.96673684676206,13.369351965479206,-5.741013762789559e+281,49.23271068625511,49.23271068625511
1706,48.8418185700781,13.364911743926411,-5.741013762789559e+281,49.204220630355024,49.204220630355024
1742,48.69932735232906,13.362325463644877,-5.741013762789559e+281,49.114920886180286,49.114920886180286
1778,48.69932735232906,13.367564270230488,-5.741013762789559e+281,48.98651132397903,48.98651132397903
1814,48.524007793890476,13.381290935540868,-5.741013762789559e+281,48.859183693061844,48.859183693061844
1850,48.524007793890476,13.390234492871164,-5.741013762789559e+281,48.776904566105294,48.776904566105294
1886,48.39928631693362,13.396023485645708,-5.741013762789559e+281,48.686643279400194,48.686643279400194
1922,48.34516749433989,13.38943197177932,-5.741013762789559e+281,48.60278922650669,48.60278922650669
1958,48.20829379253056,13.378282077792937,-5.741013762789559e+281,48.50798268826415,48.50798268826415
1994,48.20829379253056,13.36847378039137,-5.741013762789559e+281,48.47250801859126,48.47250801859126
2030,47.91689128403478,13.359045790924954,-5.741013762789559e+281,48.35414175533138,48.35414175533138
2066,47.91689128403478,13.3439958005351,-5.741013762789559e+281,48.285669787624784,48.285669787624784
2102,47.77008928807056,13.35145705558396,-5.741013762789559e+281,48.20731934891649,48.20731934891649
2138,47.72831234824771,13.350792516927822,-5.741013762789559e+281,48.072126945074416,48.072126945074416
2174,47.688904003694894,13.361569852647966,-5.741013762789559e+281,47.971836778483876,47.971836778483876
2210,47.628271229653855,13.359461138587857,-5.741013762789559e+281,47.91297718404257,47.91297718404257
2246,47.39568717928924,13.344290792551071,-5.741013762789559e+281,47.80699059305101,47.80699059305101
2282,47.33742027032928,13.353734306452669,-5.741013762789559e+281,47.709918947005725,47.709918947005725
2318,47.243250850822925,13.346909459748396,-5.741013762789559e+281,47.613530787766685,47.613530787766685
2354,47.148128291096384,13.33520961194531,-5.741013762789559e+281,47.44347832491423,47.44347832491423
2390,47.148128291096384,13.329681991559776,-5.741013762789559e+281,47.34290805556283,47.34290805556283
2426,47.148128291096384,13.325142972688694,-5.741013762789559e+281,47.32074827961635,47.32074827961635
2462,47.14171188390415,13.331917563445439,-5.741013762789559e+281,47.28731036678225,47.28731036678225
2498,47.01968631327869,13.33458614765428,-5.741013762789559e+281,47.250706397279835,47.250706397279835
2534,47.01968631327869,13.345392222264893,-5.741013762789559e+281,47.18932464273244,47.18932464273244
2570,46.92937601155388,13.356419117182016,-5.741013762789559e+281,47.15977201936461,47.15977201936461
2606,46.92006904048982,13.364759451197205,-5.741013762789559e+281,47.14122012264186,47.14122012264186
2642,46.92006904048982,13.381041374808376,-5.741013762789559e+281,47.093819485331814,47.093819485331814
2678,46.78587754049863,13.38230712014887,-5.741013762789559e+281,47.046532048256665,47.046532048256665
2714,46.6672407312894,13.394101265724887,-5.741013762789559e+281,46.97756520514279,46.97756520514279
2750,46.61299142809275,13.393334415688384,-5.741013762789559e+281,46.90005042157825,46.90005042157825
2786,46.61299142809275,13.390656802636842,-5.741013762789559e+281,46.83303391663974,46.83303391663974
2822,46.52505395821018,13.399002187664394,-5.741013762789559e+281,46.74230229215131,46.74230229215131
2858,46.43220579682724,13.399737562873353,-5.741013762789559e+281,46.656737888750456,46.656737888750456
2894,46.35238002501644,13.40330452052838,-5.741013762789559e+281,46.59615622512543,46.59615622512543
2930,46.28036211507987,13.405672269549088,-5.741013762789559e+281,46.57190271052491,46.57190271052491
2966,46.170639076558516,13.409274110610692,-5.741013762789559e+281,46.54824271102718,46.54824271102718
3002,46.11545087950824,13.407197405002897,-5.741013762789559e+281,46.46863928342561,46.46863928342561
3038,46.11545087950824,13.430859892402557,-5.741013762789559e+281,46.37470117466351,46.37470117466351
3074,46.021206875825726,13.419991318759987,-5.741013762789559e+281,46.30944133163394,46.30944133163394
3110,45.86988167800481,13.425191653300693,-5.741013762789559e+281,46.23249182663089,46.23249182663089
3146,45.7725866197832,13.43663937330706,-5.741013762789559e+281,46.151883968994014,46.151883968994014
