Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
112,94.49758302945682,45.81940170563714,1789.5,95.394929236639,95.26445892700853
114,94.49758302945682,45.81521137956892,1777.0,94.94448269504025,95.22841691466627
116,94.49758302945682,45.805805907813635,1777.0,94.70934590115816,95.18495904639792
118,94.49758302945682,45.81103469060024,1802.5,95.54526978620565,95.17315029599598
120,94.16364868206855,45.81226000519654,1770.0,94.67711283739055,95.13011565362761
122,94.16364868206855,45.80622106959664,1784.5,94.92713797966935,95.10161064626548
124,94.16364868206855,45.81600741319696,1778.5,95.00586614252825,95.07737532882707
126,93.94114306950141,45.80514882817838,1769.5,94.48550587634082,95.03354724497098
128,93.94114306950141,45.80827915515558,1768.5,94.53610897957915,94.99437490991983
130,93.94114306950141,45.808764816104365,1771.5,94.63121571687327,94.95957736179471
132,93.94114306950141,45.81098354004543,1770.5,94.65902874420834,94.9271135635258
134,93.94114306950141,45.81215096849651,1779.0,94.92328256061279,94.90573897560334
136,93.94114306950141,45.81087994553739,1751.0,94.11716499327393,94.85251762436523
138,93.94114306950141,45.8127845998429,1797.5,95.45074216131482,94.83708617194743
140,93.94114306950141,45.803125840906425,1779.0,94.69765437086065,94.81090204760932
142,93.83281084732897,45.8060591293281,1747.0,93.88602430327549,94.75347779774465
144,93.83281084732897,45.80712491344292,1785.0,94.96356161142197,94.74206620621527
146,93.83281084732897,45.80941622292017,1779.5,94.86874145680022,94.72863260193988
148,93.83281084732897,45.81105437255733,1788.5,95.15859083845223,94.72492012574004
150,93.83281084732897,45.81177771730344,1768.0,94.60974549768,94.7020287426291
152,93.83281084732897,45.80371522485107,1791.5,95.05807735937015,94.69155810519429
154,93.83281084732897,45.81588734792818,1793.0,95.40386304308521,94.68559847931535
156,93.83281084732897,45.81278305966398,1761.5,94.45512109394892,94.66093336828546
158,93.83281084732897,45.81608629937304,1766.0,94.66214990703699,94.64024835347507
160,93.83281084732897,45.8105134927762,1801.5,95.50458476941313,94.62569367932059
162,93.83281084732897,45.814012129041274,1746.5,94.07102176050944,94.5874771093601
164,93.83281084732897,45.81061580083712,1780.5,94.92638597591535,94.5836826469118
166,93.83281084732897,45.805644918773616,1759.0,94.20752989371115,94.55151714091626
168,93.83281084732897,45.81668177125555,1767.0,94.70469177529132,94.54121648531404
170,93.83281084732897,45.807575837091456,1773.5,94.6568013839335,94.52970923286975
172,93.62366106646786,45.81166811083682,1761.0,94.41341983767425,94.50329280029831
174,93.62366106646786,45.80684641507944,1773.5,94.63856583363307,94.48396622806337
176,93.62366106646786,45.80836086630442,1756.5,94.20629090400259,94.45711642531919
